position;description_position
LS;left_striker
ST;striker
RS;right_striker
LW;left_wing
LF;left_forward
CF;center_forward
RF;right_forward
RW;right_wing
LAM;left_attacking_midfielder
CAM;center_attacking_midfielder
RAM;right_attacking_midfielder
LM;left_midfielder
LCM;left_center_midfielder
CM;center_midfielder
RCM;right_center_midfielder
RM;right_miedfielder
LWB;left_wing_back
LDM;left_defensive_miedfielder
CDM;center_defensive_miedfielder
RDM;right_defensive_miedfielder
RWB;right_wing_back
LB;left_back
LCB;left_center_back
CB;center_back
RCB;right_center_back
RB;right_back
GK;goalkeeper
